Date,Sum
2024-04-30,108.6
2024-03-31,78.7
2024-02-29,66.4
2024-01-31,165.9
2023-12-31,4.2
2023-11-30,0.0
2023-10-31,0.0
2023-09-30,7.5
2023-08-31,7.0
2023-07-31,30.4
2023-06-30,94.0
2023-05-31,60.7
2023-04-30,41.0
2023-03-31,23.2
2023-02-28,29.9
2023-01-31,60.3
2022-12-31,169.3
2022-11-30,55.5
2022-10-31,4.0
2022-09-30,8.3
2022-08-31,60.3
2022-07-31,108.4
2022-06-30,97.8
2022-05-31,135.1
2022-04-30,8.5
2022-03-31,50.3
2022-02-28,19.9
2022-01-31,23.0
2021-12-31,136.3
2021-11-30,28.1
2021-10-31,33.7
2021-09-30,17.2
2021-08-31,22.9
2021-07-31,47.6
2021-06-30,50.1
2021-05-31,103.8
2021-04-30,155.1
2021-03-31,9.4
2021-02-28,4.2
2021-01-31,53.7
2020-12-31,9.9
2020-11-30,62.4
2020-10-31,32.8
2020-09-30,1.5
2020-08-31,19.7
2020-07-31,41.0
2020-06-30,48.5
2020-05-31,89.7
2020-04-30,102.3
2020-03-31,139.3
2020-02-29,115.9
2020-01-31,66.6
2019-12-31,0.0
2019-11-30,0.0
2019-10-31,7.3
2019-09-30,4.4
2019-08-31,19.9
2019-07-31,136.7
2019-06-30,43.6
2019-05-31,4.3
2019-04-30,12.4
2019-03-31,82.9
2019-02-28,10.1
2019-01-31,3.8
2018-12-31,77.2
2018-11-30,15.9
2018-10-31,9.5
2018-09-30,5.3
2018-08-31,8.0
2018-07-31,19.4
2018-06-30,18.4
2018-05-31,20.3
2018-04-30,93.5
2018-03-31,44.6
2018-02-28,51.4
2018-01-31,19.5
2017-12-31,1.9
2017-11-30,0.0
2017-10-31,1.1
2017-09-30,52.2
2017-08-31,34.2
2017-07-31,74.2
2017-06-30,69.2
2017-05-31,98.9
2017-04-30,40.4
2017-03-31,42.0
2017-02-28,5.9
2017-01-31,0.0
2016-12-31,1.6
2016-11-30,1.1
2016-10-31,6.5
2016-09-30,0.0
2016-08-31,11.9
2016-07-31,22.0
2016-06-30,43.3
2016-05-31,34.4
2016-04-30,12.4
2016-03-31,6.7
2016-02-29,39.4
2016-01-31,170.2
2015-12-31,5.3
2015-11-30,0.0
2015-10-31,5.8
2015-09-30,6.4
2015-08-31,3.3
2015-07-31,69.2
2015-06-30,65.5
2015-05-31,26.4
2015-04-30,37.7
2015-03-31,0.0
2015-02-28,43.1
2015-01-31,7.3
2014-12-31,49.4
2014-11-30,16.7
2014-10-31,23.1
2014-09-30,25.0
2014-08-31,32.8
2014-07-31,63.6
2014-06-30,70.1
2014-05-31,74.2
2014-04-30,122.9
2014-03-31,18.6
2014-02-28,31.8
2014-01-31,8.7
2013-12-31,36.2
2013-11-30,11.3
2013-10-31,54.7
2013-09-30,3.5
2013-08-31,18.1
2013-07-31,49.7
2013-06-30,11.2
2013-05-31,48.9
2013-04-30,82.0
2013-03-31,4.1
2013-02-28,17.9
2013-01-31,37.3
2012-12-31,0.0
2012-11-30,0.0
2012-10-31,13.8
2012-09-30,1.6
2012-08-31,27.8
2012-07-31,60.2
2012-06-30,18.2
2012-05-31,17.5
2012-04-30,5.0
2012-03-31,1.1
2012-02-29,40.6
2012-01-31,15.5
2011-12-31,0.0
2011-11-30,19.2
2011-10-31,55.8
2011-09-30,47.6
2011-08-31,33.5
2011-07-31,50.3
2011-06-30,24.0
2011-05-31,80.9
2011-04-30,50.6
2011-03-31,157.2
2011-02-28,131.3
2011-01-31,29.4
2010-12-31,29.6
2010-11-30,0.0
2010-10-31,20.5
2010-09-30,47.4
2010-08-31,31.7
2010-07-31,86.6
2010-06-30,112.7
2010-05-31,38.5
2010-04-30,109.6
2010-03-31,78.6
2010-02-28,25.8
2010-01-31,47.7
2009-12-31,23.1
2009-11-30,0.0
2009-10-31,26.4
2009-09-30,4.6
2009-08-31,65.6
2009-07-31,37.1
2009-06-30,58.9
2009-05-31,193.4
2009-04-30,101.4
2009-03-31,47.1
2009-02-28,34.5
2009-01-31,2.9
2008-12-31,36.7
2008-11-30,0.0
2008-10-31,0.0
2008-09-30,13.6
2008-08-31,16.1
2008-07-31,50.6
2008-06-30,32.7
2008-05-31,52.1
2008-04-30,36.2
2008-03-31,133.9
2008-02-29,95.3
2008-01-31,0.0
2007-12-31,0.0
2007-11-30,0.0
2007-10-31,0.0
2007-09-30,45.5
2007-08-31,51.7
2007-07-31,51.9
2007-06-30,44.1
2007-05-31,84.3
2007-04-30,13.8
2007-03-31,61.9
2007-02-28,220.8
2007-01-31,0.0
2006-12-31,0.0
2006-11-30,10.4
2006-10-31,14.3
2006-09-30,30.7
2006-08-31,10.3
2006-07-31,121.1
2006-06-30,94.9
2006-05-31,92.7
2006-04-30,31.3
2006-03-31,96.4
2006-02-28,0.0
2006-01-31,0.0
2005-12-31,67.2
2005-11-30,24.2
2005-10-31,0.0
2005-09-30,11.1
2005-08-31,50.3
2005-07-31,66.7
2005-06-30,99.6
2005-05-31,164.7
2005-04-30,50.1
2005-03-31,71.2
2005-02-28,171.6
2005-01-31,72.9
2004-12-31,11.5
2004-11-30,49.6
2004-10-31,0.0
2004-09-30,14.9
2004-08-31,19.3
2004-07-31,23.6
2004-06-30,49.5
2004-05-31,68.4
2004-04-30,0.0
2004-03-31,0.0
2004-02-29,23.1
2004-01-31,180.8
2003-12-31,4.1
2003-11-30,7.0
2003-10-31,13.0
2003-09-30,5.4
2003-08-31,7.9
2003-07-31,21.6
2003-06-30,24.4
2003-05-31,30.0
2003-04-30,9.9
2003-03-31,24.1
2003-02-28,91.0
2003-01-31,96.6
2002-12-31,32.7
2002-11-30,4.7
2002-10-31,0.0
2002-09-30,3.9
2002-08-31,17.0
2002-07-31,61.3
2002-06-30,39.2
2002-05-31,62.5
2002-04-30,9.8
2002-03-31,55.3
2002-02-28,85.6
2002-01-31,131.7
2001-12-31,88.2
2001-11-30,2.5
2001-10-31,29.0
2001-09-30,0.0
2001-08-31,30.8
2001-07-31,53.1
2001-06-30,48.3
2001-05-31,2.9
2001-04-30,6.0
2001-03-31,170.7
2001-02-28,12.7
2001-01-31,0.0
2000-12-31,115.9
2000-11-30,19.5
2000-10-31,7.5
2000-09-30,23.4
2000-08-31,29.0
2000-07-31,44.1
2000-06-30,62.3
2000-05-31,32.9
2000-04-30,36.3
2000-03-31,29.1
2000-02-29,143.3
2000-01-31,7.6
1999-12-31,81.8
1999-11-30,160.3
1999-10-31,41.9
1999-09-30,15.8
1999-08-31,20.1
1999-07-31,38.0
1999-06-30,17.4
1999-05-31,64.7
1999-04-30,0.0
1999-03-31,0.0
1999-02-28,13.7
1999-01-31,14.1
1998-12-31,1.8
1998-11-30,0.0
1998-10-31,1.5
1998-09-30,4.1
1998-08-31,13.9
1998-07-31,38.8
1998-06-30,70.7
1998-05-31,8.7
1998-04-30,2.5
1998-03-31,11.2
1998-02-28,0.0
1998-01-31,8.1
1997-12-31,5.7
1997-11-30,29.5
1997-10-31,30.1
1997-09-30,0.0
1997-08-31,33.3
1997-07-31,39.1
1997-06-30,52.7
1997-05-31,101.2
1997-04-30,96.7
1997-03-31,206.3
1997-02-28,36.5
1997-01-31,26.8
1996-12-31,12.3
1996-11-30,52.1
1996-10-31,16.6
1996-09-30,6.0
1996-08-31,50.4
1996-07-31,41.2
1996-06-30,73.3
1996-05-31,41.8
1996-04-30,144.6
