Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,2313.0,52.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,294.0,55.9
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arizona,2214.0,44.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arkansas,1287.0,47.6
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,California,9198.0,28.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Colorado,1519.0,39.0
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Connecticut,1034.0,29.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Delaware,267.0,35.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Washington,161.0,28.4
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Florida,5961.0,35.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Georgia,3078.0,41.5
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Hawaii,293.0,24.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Idaho,597.0,48.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Illinois,4125.0,33.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Indiana,2309.0,38.4
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Iowa,1123.0,35.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kansas,1126.0,40.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kentucky,1730.0,43.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Louisiana,1940.0,44.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maine,458.0,34.9
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maryland,1296.0,25.9
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Massachusetts,1303.0,19.6
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Michigan,3188.0,32.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Minnesota,1772.0,35.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Mississippi,1642.0,58.9
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Missouri,2465.0,43.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Montana,461.0,50.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nebraska,668.0,37.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nevada,710.0,38.5
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Hampshire,329.0,27.5
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Jersey,2227.0,26.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Mexico,969.0,55.9
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New York,4797.0,25.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Carolina,3290.0,42.1
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Dakota,267.0,38.4
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Ohio,3630.0,31.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oklahoma,1609.0,46.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oregon,1199.0,34.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Pennsylvania,4614.0,35.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Rhode Island,243.0,21.5
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Carolina,1901.0,49.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Dakota,351.0,44.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Tennessee,2677.0,47.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Texas,7227.0,37.6
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Utah,650.0,33.4
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Vermont,209.0,34.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Virginia,2214.0,33.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Washington,1914.0,33.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,West Virginia,798.0,42.0
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wisconsin,1955.0,35.6
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wyoming,258.0,52.8
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,2093.0,47.0
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,343.0,64.5
